network_size,strategy,contact_rate,n_runs,delay_mean_mean,delay_mean_ci95,delay_p95_mean,delay_p95_ci95,far_mean,far_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_ci95,coverage_rate_mean,coverage_rate_ci95
100,PULL,0.008333333333333333,3,,,,,0.9166666666666666,0.16333333333333336,0.05865885416666666,0.0033271180662453373,0.0,0.0
100,PUSH,0.008333333333333333,3,17188.37590115749,,17432.433789119794,,0.4305555555555555,0.42260253339818954,0.7751041666666666,0.27943725735011765,0.023809523809523808,0.04666666666666667
100,GOSSIP,0.008333333333333333,3,,,,,1.0,0.0,0.12291666666666667,0.000628205128205135,0.0,0.0
100,MIXED,0.008333333333333333,3,200.32763020712233,15.208265512016624,272.2823297452275,36.345626224709804,0.0,0.0,3.5822415865384616,1.0590103936411261,0.9866666666666667,0.02613333333333336
300,PULL,0.002777777777777778,3,20165.819834334266,,20165.819834334266,,0.9583333333333334,0.08166666666666668,0.06169704861111111,0.0017719579336824968,0.014492753623188406,0.028405797101449273
300,PUSH,0.002777777777777778,3,19886.855987377145,,19886.855987377145,,0.7103174603174603,0.047310375235652846,0.7624479166666666,0.02860714665585328,0.014492753623188406,0.028405797101449273
300,GOSSIP,0.002777777777777778,3,,,,,1.0,0.0,0.12307692307692308,0.000942307692307698,0.0,0.0
300,MIXED,0.002777777777777778,3,603.9155561090712,33.05955132294361,781.0039506295985,85.494756960118,0.0,0.0,2.971918402777778,0.25459239863415417,0.9855072463768115,0.028405797101449255
500,PULL,0.0016666666666666668,3,,,,,1.0,0.0,0.06093229166666667,0.0030422888633030555,0.0,0.0
500,PUSH,0.0016666666666666668,3,21224.84291092884,,21224.84291092884,,0.5206349206349207,0.2790304200416901,0.7564062500000001,0.18102502154677155,0.012345679012345678,0.02419753086419753
500,GOSSIP,0.0016666666666666668,3,,,,,1.0,0.0,0.12259615384615385,0.0007538461538461476,0.0,0.0
500,MIXED,0.0016666666666666668,3,1023.0212606282424,9.807141723320836,1257.713852497461,20.65271893281303,0.037037037037037035,0.0725925925925926,2.623936298076923,0.533973210131447,0.9197780776728145,0.033245469431774935
1000,PULL,0.0008333333333333334,3,,,,,0.8055555555555555,0.19630223610859499,0.0609609375,0.0014896145547791547,0.0,0.0
1000,PUSH,0.0008333333333333334,3,,,,,0.5324074074074074,0.12003871689089345,0.7610351562500001,0.14887373405691537,0.0,0.0
1000,GOSSIP,0.0008333333333333334,3,,,,,1.0,0.0,0.12166666666666666,0.00041194165088564316,0.0,0.0
1000,MIXED,0.0008333333333333334,3,1952.8998134385595,37.77747763110584,2406.061399409165,78.57165282992412,0.09722222222222221,0.09815111805429748,2.030333533653846,0.3558874771397195,0.8898885390113461,0.04057850479938154
2000,PULL,0.0004166666666666667,3,,,,,0.8888888888888888,0.21777777777777782,0.06085091145833333,0.0018508714957140902,0.0,0.0
2000,PUSH,0.0004166666666666667,3,,,,,0.541005291005291,0.20501162602116224,0.7579921875000001,0.1629723810134944,0.0,0.0
2000,GOSSIP,0.0004166666666666667,3,,,,,1.0,0.0,0.11983173076923076,0.0004025540226159168,0.0,0.0
2000,MIXED,0.0004166666666666667,3,3584.842595425634,113.89886891933908,4305.253457528984,254.80682433673852,0.17037037037037037,0.05807407407407409,1.5141456330128207,0.2857706494934256,0.8120907682311191,0.08365321058998744
5000,PULL,0.00016666666666666666,3,,,,,0.873015873015873,0.12732770978468258,0.06052213541666666,0.0025465542783959755,0.0,0.0
5000,PUSH,0.00016666666666666666,3,,,,,0.4682539682539682,0.13826080204713137,0.6841098958333333,0.053403341349752116,0.0,0.0
5000,GOSSIP,0.00016666666666666666,3,,,,,1.0,0.0,0.08253525641025641,0.0031036575923193595,0.0,0.0
5000,MIXED,0.00016666666666666666,3,7076.602076172717,238.41877398940545,8344.492168506202,272.22657099633955,0.23660130718954245,0.09572763847541968,0.9274881810897435,0.0628350802648293,0.583160800552105,0.06047753520493031
10000,PULL,8.333333333333333e-05,3,,,,,0.9722222222222222,0.05444444444444447,0.060381901041666665,0.002464299476727046,0.0,0.0
10000,PUSH,8.333333333333333e-05,3,,,,,0.5277777777777778,0.12557679269752645,0.6877338541666668,0.05851281575938854,0.0,0.0
10000,GOSSIP,8.333333333333333e-05,3,,,,,1.0,0.0,0.02423557692307692,0.0007949153394813814,0.0,0.0
10000,MIXED,8.333333333333333e-05,3,9958.466687284845,409.8634187498961,12069.093968412126,371.3067147236855,0.5,0.18860108793527774,0.7389534254807693,0.05065620822508571,0.37198067632850246,0.10543785653281974
