sweep_dim,sweep_value,strategy,n_runs,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95
network_size,50,PULL,1,0.15772932626203104,,,48542.3363812568,,,0.654052734375,,,13.395,,,0.44538706256627786,,,1.0,,
network_size,50,PUSH,1,0.1310155175800432,,,32121.645910481267,,,5.812412261962891,,,119.038203125,,,0.3003416990691646,,,1.0,,
network_size,50,GOSSIP,1,0.0649949849548646,,,23671.689407462974,,,1.8106689453125,,,28.525,,,0.41472960151802657,,,1.0,,
network_size,50,MIXED,1,0.00020060180541624874,,,111.43394703879045,,,46.3880729675293,,,730.7905649038462,,,0.13840132827324478,,,1.0,,
network_size,100,PULL,1,0.16660261337432744,,,51372.23940135803,,,1.7014350891113281,,,17.4226953125,,,0.3687846126362175,,,0.9176276771004942,,
network_size,100,PUSH,1,0.1337432744043044,,,36997.23925575573,,,16.80038070678711,,,172.0358984375,,,0.20216756982075865,,,0.957166392092257,,
network_size,100,GOSSIP,1,0.06578692024063652,,,20085.64176356852,,,4.8047637939453125,,,37.84675480769231,,,0.26204135293414604,,,0.957166392092257,,
network_size,100,MIXED,1,0.0007762468464971861,,,222.7792591244758,,,130.75538635253906,,,1029.9501201923076,,,0.0004780686028445082,,,1.0,,
network_size,200,PULL,1,0.1765137614678899,,,52244.29414252132,,,3.5041465759277344,,,17.94123046875,,,0.3673120056663912,,,0.9258675078864353,,
network_size,200,PUSH,1,0.14275229357798166,,,37699.36531930188,,,36.312068939208984,,,185.91779296875,,,0.20342934718451186,,,0.9479495268138801,,
network_size,200,GOSSIP,1,0.10256880733944954,,,30253.913174295423,,,9.070133209228516,,,35.72237079326923,,,0.4257968865826538,,,0.998422712933754,,
network_size,200,MIXED,1,0.0009174311926605505,,,462.4853907037773,,,262.3466987609863,,,1033.2423828125,,,0.00041512231282431433,,,1.0,,
network_size,300,PULL,1,0.17701740506329114,,,54068.63742811429,,,4.948505401611328,,,16.8908984375,,,0.369974524321312,,,0.9273927392739274,,
network_size,300,PUSH,1,0.14102056962025317,,,39060.38413153783,,,49.18057632446289,,,167.86970052083333,,,0.20432290422737043,,,0.9471947194719472,,
network_size,300,GOSSIP,1,0.056192883531013024,,,19646.759059097512,,,17.553401947021484,,,46.088932291666666,,,0.20757750168697653,,,0.9867986798679867,,
network_size,300,MIXED,1,0.00116663426015944,,,682.5256350232772,,,339.4029350280762,,,891.1502704326923,,,0.000496169570912555,,,0.9983498349834984,,
network_size,500,PULL,1,0.16815742397137745,,,53423.74349066454,,,8.128593444824219,,,16.647359375,,,0.36739858843658657,,,0.8991869918699187,,
network_size,500,PUSH,1,0.13615583383025243,,,38356.781879821254,,,85.73314666748047,,,175.581484375,,,0.20140918704403413,,,0.9219512195121952,,
network_size,500,GOSSIP,1,0.06683804627249357,,,18133.56381388838,,,35.247344970703125,,,55.528125,,,0.15811619424511883,,,0.9463414634146341,,
network_size,500,MIXED,1,0.002768439786434645,,,1158.5689811616098,,,499.28377532958984,,,786.5639783653846,,,0.0017402913199990465,,,0.9983739837398374,,
network_size,750,PULL,1,0.16562269712601327,,,53683.178428311905,,,13.31915283203125,,,18.185083333333335,,,0.3665687286587787,,,0.9174454828660437,,
network_size,750,PUSH,1,0.13338246131171702,,,38443.18613006559,,,140.38814163208008,,,191.676609375,,,0.19893591677916303,,,0.9532710280373832,,
network_size,750,GOSSIP,1,0.0593841642228739,,,19366.147912510718,,,75.60344314575195,,,79.40300080128205,,,0.17509188982767673,,,0.9750778816199377,,
network_size,750,MIXED,1,0.0023826979472140763,,,1716.9500029391677,,,716.7114181518555,,,752.7307612179487,,,0.0007239804604833961,,,0.9953271028037384,,
network_size,1000,PULL,1,0.17552334943639292,,,55131.55228980418,,,16.015785217285156,,,16.4001640625,,,0.3707879176462207,,,0.8988195615514334,,
network_size,1000,PUSH,1,0.13828502415458938,,,40072.03042329361,,,160.0646095275879,,,163.90616015625,,,0.20436465531571324,,,0.9291736930860034,,
network_size,1000,GOSSIP,1,0.06287240599958907,,,20777.71598750258,,,104.28291320800781,,,82.1428485576923,,,0.21573675146444513,,,0.9747048903878583,,
network_size,1000,MIXED,1,0.003492911444421615,,,2266.899504762952,,,753.373348236084,,,593.4263912259615,,,0.0014718939759610515,,,0.9966273187183811,,
network_size,1500,PULL,1,0.16566099835436093,,,53957.380511527,,,26.992145538330078,,,18.426638020833334,,,0.3671345633847622,,,0.9253048780487805,,
network_size,1500,PUSH,1,0.13293106600841104,,,38933.416685971795,,,292.02184295654297,,,199.353578125,,,0.20012327024017815,,,0.9496951219512195,,
network_size,1500,GOSSIP,1,0.0685907714234812,,,22304.363277771685,,,223.6881980895996,,,117.46498197115385,,,0.2465185702716865,,,0.9847560975609756,,
network_size,1500,MIXED,1,0.005701051131302334,,,3244.728533362788,,,1095.9430809020996,,,575.5106229967948,,,0.0014568810835701924,,,0.9939024390243902,,
network_size,2000,PULL,1,0.1587931718936086,,,54712.619147771795,,,32.46410369873047,,,16.62162109375,,,0.36999690468820684,,,0.9021922428330523,,
network_size,2000,PUSH,1,0.13080587534736007,,,39557.93152844385,,,323.08996963500977,,,165.422064453125,,,0.20166551584561537,,,0.9325463743676222,,
network_size,2000,GOSSIP,1,0.07579655650108846,,,25631.39946578816,,,272.28073501586914,,,107.23672025240384,,,0.29861266535960584,,,0.954468802698145,,
network_size,2000,MIXED,1,0.007520284979220265,,,4206.1424861521255,,,1105.8676414489746,,,435.5417172475962,,,0.002205292104218703,,,0.9915682967959528,,
network_size,3000,PULL,1,0.1636048526863085,,,54857.689690583895,,,55.824859619140625,,,19.054885416666668,,,0.36842544748211165,,,0.9231905465288035,,
network_size,3000,PUSH,1,0.13258232235701906,,,39877.160221601975,,,613.3830680847168,,,209.36808723958333,,,0.20219252814718647,,,0.9394387001477105,,
network_size,3000,GOSSIP,1,0.07867282367025825,,,29401.333763270457,,,538.372428894043,,,141.35727363782053,,,0.3387421720705432,,,0.9645494830132939,,
